movie_id,title_th,title_en,overview_th,overview_en,release_date,popularity,vote_average,vote_count,genres,poster_url
1245823,เบิร์ด ธงไชย คอนเสิร์ต #7/2541 เปิดอัลบั้ม ธงไชย เซอร์วิส ตอน ซ่าได้,"Bird Thongchai Concert #7/1998 Thongchai Service ""Zaa-Dai""",,"Experience the energy and passion of Thai pop iconThongchai ""Bird"" McIntyre in his thrilling 1998 concert, ""Thongchai Service Zaa-Dai""""",1998-09-18,0.053,6.0,1,10402,https://image.tmdb.org/t/p/w500/pXg4uD6mL3RVoUm4LFtZ2AsPhd3.jpg
1240918,วัยเรียนเพี้ยนรัก,วัยเรียนเพี้ยนรัก,"รักเพี้ยนต้องเรียนรัก ใครเพี้ยนหนัก ก็เป็นทอมกับดี้ ถ้าเพี้ยนจนได้ที่ ต้องเป็นตุ๊ดเป็นเกย์",,1985-08-24,0.053,0.0,0,35,https://image.tmdb.org/t/p/w500/j7uF8ZAzhN0cDpqI9kEQiaJlURJ.jpg
1114102,คืนหวาดระเเวง,Bystander,"เมื่อกลุ่มเพื่อนห้าคนชื่อ เวฟ, สกาย, ปรางค์, เเจน, เเละ เมโย ได้มาเเก้เกรดในรายวิชาย้อมสีภาพยนตร์ โดยอาจารย์ไม่สามารถเดินทางมามหาลัยได้ เเต่ร่ะหว่างนั้นก็มีข่าวนักโทษหลุดออกมาจากเรือนจำซึ่งเป็นฆาตกรที่เคยอาละวาดที่มหาวิทยาลัยเเห่งนี้ทำให้กลุ่มเพื่อนทั้งห้าคนจะต้องเอาตัวรอดจากฆาตกรคนนี้ให้ได้",,2022-08-27,0.053,0.0,0,"27, 53, 14",https://image.tmdb.org/t/p/w500/ba8aQdn667tsvVowjIeZxCToD4u.jpg
1108644,Golden Hour Billkin The First Fan Meeting,Golden Hour Billkin The First Fan Meeting,,Join Billkin to celebrate an unforgettable evening as the beloved star dazzles his fans with electrifying music and magnetic charisma.,2022-10-08,0.053,0.0,0,10402,https://image.tmdb.org/t/p/w500/qqDpAJIltkK1jxdUiH87obwc7qk.jpg
999098,รักแรกอุ้ม,Rak Rak Oom,ชีวิตความรักของคนหนุ่มสาวระหว่างมีลูก ซึ่งต้องฟันฝ่าอุปสรรคมากมาย จนเกิดความไม่เข้าใจกัน แต่สุดท้ายทั้งสองก็ดำเนินชีวิตคู่กับลูกในอ้อมกอดได้อย่างราบรื่น,,1988-06-18,0.053,6.0,1,"18, 10749",https://image.tmdb.org/t/p/w500/4kpqlJM6kpQIjDs4zpMoAQ2Zcg9.jpg
944623,หนุมานเผชิญภัยครั้งใหม่,The New Adventures of Hanuman,,"Hanuman, who is the God-King of the apes, was one of major characters who fought with Rama [Phra Ram] against the Devil King Ravana [Totsapak]",1960-01-01,0.037,5.0,1,16,https://image.tmdb.org/t/p/w500/61C2CoUr9pXiCF9N5NDc7Ye8JfO.jpg
754130,Club M2,Club M2,,"A married, homophobic accountant unknowingly intercepts a bribe intended for his boss, a corrupt real-estate developer. When thugs try to take back the money, they unknowingly chase him into a gay sauna. It's there for the first time that he knowingly confronts gay people. Fearing for his life, the accountant is forced to accept help from the people he would normally avoid and look down upon. At the sauna, he discovers new lessons about life, acceptance, HIV/AIDS, and his relationships with his own family.",2007-07-05,0.038,1.0,1,,https://image.tmdb.org/t/p/w500/zPMh9BIvbCggUXXJeWzyQTOoPVF.jpg
735216,Motherland,Motherland,,"A small suburban family consists of A stepdad, his depressed son, his furious older brother, and their ill mother. Secrets. Lies. Suspicion. Betrayal. The story of this family will be unfolded in this movie motherland.",2017-07-01,0.023,0.0,0,"18, 53",https://image.tmdb.org/t/p/w500/bLFRy9UqvPTresjJ1zjIpmjjHh.jpg
1123604,ค่ายเฮี้ยน...โรงเรียนโหด,The Missing Girls,จากค่ายธรรมะสุดหฤโหดพาให้นักเรียนเกเรทั้งเก้าคนมารวมตัวกันโดยไม่ได้นัดหมาย เมื่อหนึ่งในนักเรียนเหล่านั้นดันมือบอนไปปลดล็อกกุญแจห้องต้องห้าม ทำให้ผีนักเรียนหญิงที่ถูกขังอยู่ในห้องปรากฏตัวขึ้น จากค่ายหฤโหด กลายเป็นค่ายสุดเฮี้ยนในพริบตาและความหลอนที่ว่า ก็พาทุกคนไปเจอ “ความจริง” ที่น่ากลัวกว่าผี !!,"A brutal Dharma camA brutal Dharma camp unexpectedly brings nine rogue students together. When one of those students pushed his hand to unlock the forbidden room key. The ghost of the female student who was trapped in the room appeared. from the extreme camp Become a scary camp in the blink of an eye. and the haunting that takes everyone to meet the ""truth"" that is scarier than ghosts!!",2023-04-09,0.036,0.0,0,"27, 18",https://image.tmdb.org/t/p/w500/4Dc9Ihowk2IEmmwWjfgotvVRWbw.jpg
1121594,A short film about one man on new year eve,A short film about one man on new year eve,,a short story about one man on new year eve,2023-05-01,0.037,0.0,0,,https://image.tmdb.org/t/p/w500/v4iZr1KNbgTwnBahgeNtyLMEsyy.jpg
946791,Mother Distancing,Mother Distancing,,"The relationship between ""Bam"", a discordant daughter and ""mother"" who is a doctor, may change.  When her mother became at the highest risk in the COVID-19 situation.",2020-06-02,0.052,0.0,0,18,https://image.tmdb.org/t/p/w500/apyn2XXLaiFObTaJhhTHzvTnh5V.jpg
812719,กะเทยเป็นเหตุ,It's All Because of a Katoey,,"A beautiful woman picks up her fiancé at a gentleman's club where the members play pool. She is so attractive that other men begin to compete for her attention. One, a lieutenant who she won't give the time of day, finds out a little more about her than he bargained for.",1954-01-01,0.037,5.0,1,"10749, 18",https://image.tmdb.org/t/p/w500/qIg3Qo18cKNOq5HiqPfstUs1FcJ.jpg
232405,โก๋หลังวัง,Born Blood,"ปี พ.ศ. 2503 ""วังบูรพาภิรมย์"" คือ แหล่งรวมวัยรุ่นชาย-หญิง ที่มีรสนิยมทั้งหลาย ที่ใหญ่ที่สุดแห่งหนึ่งของไทย สถานที่แห่งนี้ เต็มไปด้วยวัยรุ่นผู้นำแฟชั่นในทุกด้าน กระแสความนิยมที่เกิดขึ้น จากนักร้องดังของฝรั่งอย่าง เอลวิส เพรสลีย์, เจมส์ ดีนส์ ส่งผลถึงการแต่งกาย ไม่ว่าจะเป็นด้านเสื้อผ้า หรือว่าทรงผม ล้วนถอดแบบมาจากแม่แบบเมืองฮอลลีวู้ดแทบทั้งสิ้น รวมถึงกลุ่มนักเรียนชายสุดหล่อนิสัยดีที่มี วาทิน (อานัส ฬาพานิช) เป็นหัวหน้ากลุ่มด้วย แต่เมื่อวาทินเกิดไปตกหลุมรัก จำปูน (บัณฑิตา ฐานวิเศษ) สาวสวยน้องขาใหญ่แห่งวังบูรพา ที่ชอบใช้ชีวิตหรูหราฟุ่มเฟือยอย่าง จำเป็น (สินชัย หอมทวล) สงครามแห่งลูกผู้ชายก็เริ่มต้นขึ้น เมื่อชายทั้งหมดเป็นวัยรุ่นเลือดร้อน ที่มีความฝันคลุกกรุ่นอยู่ในหัวใจ เมื่อทุกกลุ่มต่างมีศักดิ์ศรี ที่ไม่มีสิ่งใดมาลบล้างได้ เมื่อทุกวินาทีแห่งความรัก ทำให้ชีวิตมีความหมายมากกว่าเดิม และเมื่อทุกอุดมการณ์รวมตัวกัน เป็นหนึ่งเดียวแห่งวังบูรพา ในนามแห่ง ""โก๋หลังวัง","It was an innocent time, a time for pastel dresses, jukebox music and Elvis worship. Life in Bangkok then was a very different from now, when the boys did their hair like James Dean and the girls wore outfits with an eye towards prudence. At one of the local dances, attended to by all the young people in town, a boy meets a girl. As they dance together for the first time, a love is born. And first loves, in a way, always last forever. But is everything as it seems in this idyllic place and time? For, as she is soon about to discover, looks can be deceiving, and the young man she has just become devoted to may be a lot more vicious, and dangerous, then she ever could have imagined. Is an era of peace and innocence about to end?",2002-03-15,0.052,7.0,1,"28, 18",https://image.tmdb.org/t/p/w500/1Y7Gh7sWkVSeIAkFYrKS6orxfPD.jpg
1357425,แด่ฉันผู้จากไป,Dear My Golden Fish,,Khaotom thinks back to the time he and his grandfather were together again.,2023-03-31,0.035,0.0,0,18,https://image.tmdb.org/t/p/w500/xuREMB3tttQo2dXFR9p9T148jTW.jpg
1179729,ปี่แก้วนางหงษ์,Pi Kaew Nang Hong,,Thai horror film.,1970-06-26,0.05,0.0,0,27,https://image.tmdb.org/t/p/w500/e86MbeprSfw53beSk2A7htAj4Bp.jpg
1077366,ท่านขุนน้อยน้อยแห่งสยาม,A Time Between Time,"ในความแตกต่างของเวลา มีความสง่างามของความรู้สึก และหัวใจ พ.ศ.2416 พ.ศ.2536 เวลาที่แตกต่างกันกว่า 100 ปี อาจจะไม่แตกต่างกันเลย  หลังจากที่มาโนชและมธุรส สองสามีภรรยา ตัดสินใจซื้อบ้านเก่าหลังหนึ่ง พวกเขากลับรู้สึกผูกพันกับบ้านหลังนี้อย่างประหลาด กระทั่งวันหนึ่ง เล็ก ลูกชายของทั้งคู่ ได้พบกับ สิน เพื่อนต่างมิติที่ยังคงวนเวียนอยู่ในบ้าน แต่สินบังคับไม่ให้เล็กบอกใครว่ากำลังสื่อสารอยู่กับตน มีเพียงน้องสาวคนสุดท้องของเล็กเท่านั้น ที่รู้ว่าเล็กกำลังคุยและมีจิตผูกพันอยู่กับใครในบ้านหลังนี้",,1993-09-25,0.05,6.0,1,"10751, 14",https://image.tmdb.org/t/p/w500/mKN2AnShuOagsPHRw58e7oQQQx5.jpg
1076351,รักเลือกไม่ได้,Love Can't Choose,"ภาพยนตร์รักที่เหนือชั้นกว่าอีกแล้ว ซึ่ง ไม่ใช่... ""รักต้องห้าม"" ไม่ใช่..""มัจจุราชสีน้ำผึ้ง""  ไม่ใช่....""เสน่หาอาลัย""  ไม่ใช่....""ความรักสีดำ"" แต่เป็นการต่อสู้ของลูกผู้หญิง  เพื่อขอแบ่งปันเศษความสุขเล็กๆน้อยๆจากสามี  ซึ่งก็คือ  พี่เขยของเธอเอง",,1977-08-27,0.05,6.0,1,,https://image.tmdb.org/t/p/w500/A3Zp4nlKurEru3GQpChR1CveeTQ.jpg
1048067,Lost In Blue  ละเลย เลย เลือนลาง,Lost In Blue  ละเลย เลย เลือนลาง,ความสุขเพียงชั่วครู่  ความเศร้าตลอดไป,,,0.05,8.0,1,,https://image.tmdb.org/t/p/w500/A0jnGme8U222947PKAPQS4YYism.jpg
685035,Bpoop Phaeh Saniwaat,Love Destiny,,"The film tells the story of Kadesurang (Bella Ranee), a young girl who is a good student in French studying the Department of Archeology. She is very smart but her appearance is not beautiful and stout. At that time, Kadesurang was secretly in love with a guy in the same class but did not dare to confess because he was afraid of his ugly body. One day, when she was going home, she had an accident, her body died but the girl's soul was still wandering in the world then accidentally passing through time and space back into the past into the body. The body of a cruel and brutal lady named Karakade",,0.05,6.0,1,,https://image.tmdb.org/t/p/w500None
593767,คิดถึงครึ่งชีวิต,The Promise,,Natt must find a heartbreaking story. When he was disappointed in the last exam He brought his traumatized heart back home in Chiang Mai. Natt felt guilty of his mother's hope. Natt then tried to read the book harder than before,2016-05-26,0.05,0.0,0,"18, 10749, 35",https://image.tmdb.org/t/p/w500/t1Rq9c6aopbdx24kvHZ2bItmtH9.jpg
434324,Song Sing Chart Ai Sur - 1991,Song Sing Chart Ai Sur - 1991,,Song Sing Chart Ai Sur  Dir: Panna Rittikrai  Thailand - 1991,,0.035,2.0,1,,https://image.tmdb.org/t/p/w500None
270381,Krasue krahai lveat,Filth Eating Spirit,,"A Krasue (aka Filth Eating Spirit, aka flying head with guts dangling from it) wreaks havoc.",1985-01-01,0.035,5.0,1,27,https://image.tmdb.org/t/p/w500None
1329990,เด็กเอ๋ย เด็กเซอร์,THE KIDS ARE NOT ALRIGHT,รำลึกพฤติกรรมเวรี่เซอร์ที่เราเคยทำกันไปในวัยเด็ก แล้วเราก็พบว่าวัยเด็กนั้นมีอาณาบริเวณกว้างไกลลึกซึ้งกว่าที่เราคิด หรือเคยคิด แต่อาจจะลืมไปแล้ว,The compilation of weird behavior we might ever did when we were young. The video is based on the real interview which is reenacted by the director.,2016-02-27,0.049,0.0,0,,https://image.tmdb.org/t/p/w500/qzJXDv2v7xAWbitlf0CgHcPxipV.jpg
1236965,รักกันเล่นๆ(ไม่เห็นเป็นไร),รักกันเล่นๆ(ไม่เห็นเป็นไร),"“เรื่องยังงี้สักวันหนึ่งก็จะถึงทีคุณ” รักกันเล่นๆ (ไม่เห็นเป็นไร)",,1986-01-03,0.049,0.0,0,35,https://image.tmdb.org/t/p/w500/8xmTrhfXY8VzKXqVTafaByZPMVD.jpg
1210003,พูนเทรอลสตอรี่,Poontreoll Story,พูนเทรอลสตอรี่ (อังกฤษ:POONTREOLL STORY) หนังสือที่บันทึกเรื่องราวจริงของบอมมี่ กิตติพจน์ ซึ่งหนังสือเล่มนี้ได้เเต่งขึ้นให้กับคนๆนึง,,,0.049,10.0,1,,https://image.tmdb.org/t/p/w500None
1204918,ห้องสมุด โรงเรียน แห่งอนาคต,The King's House,ริ้วรอยความเก่า ความผุผัง ความแปลกประหลาด และสิ่งของที่ดูเหมือนมีชีวิตและพูดได้ภายในโรงเรียนมัธยมศึกษา สะท้อนเรื่องราว ความรู้สึก และมุมมองบางอย่างต่อเหตุการณ์การเมืองและสิ่งที่เกิดขึ้นในประเทศไทยที่ผ่านมา,"After the 'Empty Paper Incident' on the skywalk in Thailand 2020, the director turned to explore a high school with a new learning center in the library. What remained were only the remnants of historical traces—old, decayed, strange, and seemingly alive and speaking objects within the school, and outside the library. These remnants reflect certain stories, feelings, and perspectives on the political events and what happened in Thailand during the 2020-2021 period.",,0.035,8.0,1,"99, 9648",https://image.tmdb.org/t/p/w500/1nuEWNrdASKDt5hdMfkpfSUvGbw.jpg
1128985,จ้างวานข้า,จ้างวานข้า,สารคดีเกี่ยวกับคนไร้บ้าน แผ่ให้เห็นวิถีชีวิตและความคิดของผู้คนอันหลากหลายที่มีต่อคนไร้บ้าน  และยังเล่าถึงอีกแง่มุมของคนไร้บ้านที่หลายคนอาจยังไม่รู้,,,0.035,6.0,1,99,https://image.tmdb.org/t/p/w500None
1113442,RS MEETING CONCERT,RS MEETING CONCERT,ย้อนชมภาพบรรยากาศงาน ‘RS Meeting Concert 2022 : Dance Marathon ปลายปี…ถึงทีเต้น’ งานดนตรีสุดมัน ที่ขนทัพศิลปินขวัญใจวัยรุ่นยุค 90’s มามากว่า 16 ชีวิต,,,0.049,10.0,1,,https://image.tmdb.org/t/p/w500/7PCfrCkAAXKelkyncd93N9zmSDh.jpg
1072336,มาลัยใจแตก,Ma Lai Jai Tak,,Plot Unknown,2023-04-06,0.049,0.0,0,,https://image.tmdb.org/t/p/w500None
1048658,Orang Isan  โอรังอีซัง,Orang Isan  โอรังอีซัง,ทุก ๆ วัฒนธรรมย่อมกลืนกลาย ทั้งรับและส่งปรับตัวกันไปมา ให้ภาพยนตร์ถ่ายทอดเรื่องราวให้ใกล้เคียงความจริงมากที่สุดพร้อมมีความสวยงามอย่างเป็นธรรมชาติและซื่อสัตย์,,,0.035,6.0,1,,https://image.tmdb.org/t/p/w500/1WZAiWs40BfO3NNxNrSwTRneZEb.jpg
1048074,La Famille Sonata  ห้วงจังหวะชีวิต,La Famille Sonata  ห้วงจังหวะชีวิต,ภาพยนตร์สารคดีสะท้อนความเจ็บปวดในวัยเยาว์และครอบครัว,,,0.049,8.0,1,99,https://image.tmdb.org/t/p/w500/a8HQmsccUC1jx2epG6TuUYrs7am.jpg
